hex_id,flag_no_transition,primary_type,group_type,total_area,diag_total,offdiag_total,offdiag_ratio,dominant_value_col,dominant_area,dominant_share_of_offdiag,dom_from,dom_to,dom_from_name,dom_to_name,beta_obs,beta_nat_clim,beta_res_clim,share_nat_clim,dominance_clim,beta_nat_co2,beta_res_co2,share_nat_co2,dominance_co2,beta_clim,beta_co2,beta_res,share_abs_clim,share_abs_co2,share_abs_res,P90_trend,VPD90_trend,Tmean_trend,SM90_L1_trend,ET90_trend,SWnet90_trend,VPD_resid_trend
17,FALSE,Urban_expansion,Urban_expansion,100260000,75600000,24660000,0.245960503,VALUE_108,15840000,0.642335766,1,8,cropland,urban,0.434643482,0.007481392,0.42716209,0.01721271,RESIDUAL,0.218638034,0.216005448,0.503028443,NATURAL,0.007481392,0.211156642,0.216005448,0.01721271,0.485815733,0.496971557,0.42419321,0.002467182,0.051503473,-4.06E-05,0.805215522,0.692291477,-0.000587898
23,FALSE,Urban_expansion,Urban_expansion,100260000,82980000,17280000,0.172351885,VALUE_208,7290000,0.421875,2,8,forest,urban,0.191601401,-0.002356019,0.193957421,0.012001314,RESIDUAL,0.211367255,-0.019765854,0.91448281,NATURAL,-0.002356019,0.213723275,-0.019765854,0.009989687,0.906201703,0.08380861,-0.699388496,0.002169475,0.03171788,-0.000197757,0.711583856,0.758397498,0.000594742
46,TRUE,,No_transition,100440000,100440000,0,0,VALUE_102,0,,1,2,cropland,forest,0.07789227,-0.004933803,0.082826073,0.056219349,RESIDUAL,0.209655546,-0.131763277,0.614071434,NATURAL,-0.004933803,0.214589349,-0.131763277,0.014044958,0.610867177,0.375087865,0.047057744,-0.001420464,0.012736946,0.000221899,0.012076306,0.319338938,-0.001811194
47,FALSE,Other,Other,98370000,98280000,90000,0.000914913,VALUE_1009,90000,1,10,9,water_and_ice,bare_areas,0.056334368,-0.000681267,0.057015634,0.011807684,RESIDUAL,0.213061044,-0.156726676,0.576171226,NATURAL,-0.000681267,0.213742311,-0.156726676,0.001835555,0.575891593,0.422272852,1.027075258,-0.000201462,0.006090976,4.70E-05,0.313727515,0.436919605,-5.01E-05
50,TRUE,,No_transition,98550000,98550000,0,0,VALUE_102,0,,1,2,cropland,forest,0.271177958,-0.008477605,0.279655563,0.029422525,RESIDUAL,0.20486579,0.066312168,0.755466232,NATURAL,-0.008477605,0.213343395,0.066312168,0.029422525,0.740433309,0.230144166,-1.873232525,0.000985241,-0.011405491,-0.000310486,0.190569602,-0.098272947,0.002166668
54,TRUE,,No_transition,100260000,100260000,0,0,VALUE_102,0,,1,2,cropland,forest,0.11114698,0.050425631,0.060721349,0.453684218,RESIDUAL,0.262327215,-0.151180235,0.634395378,NATURAL,0.050425631,0.211901584,-0.151180235,0.121946124,0.512449254,0.365604622,3.71112705,-0.003321667,0.022326463,0.001991306,4.372061923,1.535136931,-0.003843455
58,FALSE,Urban_expansion,Urban_expansion,100260000,99180000,1080000,0.010771993,VALUE_308,630000,0.583333333,3,8,shrubland,urban,0.142098118,-0.004584049,0.146682167,0.030304511,RESIDUAL,0.202344273,-0.060246155,0.770569874,NATURAL,-0.004584049,0.206928322,-0.060246155,0.016868095,0.761441878,0.221690027,-13.04175171,0.001769886,0.040591404,-0.000353075,0.553794939,-0.051789054,-0.000835575
59,TRUE,,No_transition,100350000,100350000,0,0,VALUE_102,0,,1,2,cropland,forest,0.172734376,-0.006094994,0.178829369,0.032959386,RESIDUAL,0.203297295,-0.030562919,0.869311164,NATURAL,-0.006094994,0.209392288,-0.030562919,0.024771341,0.851014498,0.12421416,-8.789426781,0.000861752,0.027417277,-0.000212421,0.274912838,-0.027215362,-0.000767165
70,FALSE,Other,Other,98370000,98190000,180000,0.001829826,VALUE_203,180000,1,2,3,forest,shrubland,0.122403842,0.011461184,0.110942658,0.093634185,RESIDUAL,0.221627216,-0.099223375,0.690748974,NATURAL,0.011461184,0.210166032,-0.099223375,0.035721249,0.655027724,0.309251026,-0.309859834,0.000181112,-0.009067811,0.000523284,0.8962302,-0.168631983,0.00115824
77,TRUE,,No_transition,100350000,100350000,0,0,VALUE_102,0,,1,2,cropland,forest,0.025325682,-0.026543942,0.051869623,0.338512114,RESIDUAL,0.188179563,-0.162853882,0.536073032,NATURAL,-0.026543942,0.214723505,-0.162853882,0.0656831,0.531334255,0.402982645,-12.41558045,-0.000347517,0.017741066,-0.000343249,0.156609653,0.095306839,-0.00121008
